code;activite;phase;icr;classant
BFGA004;1;0;152;Y
BFGA005;1;0;114;Y
BFGA006;1;0;152;Y
BFGA007;1;0;208;Y
BFGA008;1;0;141;Y
BFGA009;1;0;136;Y
BFGA010;1;0;205;Y
BFGA368;1;0;158;Y
BFGA427;1;0;152;Y
BFKA001;1;0;144;Y
BFLA001;1;0;114;Y
BFLA002;1;0;6;NA
BFLA003;1;0;185;Y
BFLA004;1;0;108;Y
BFLA900;1;0;100;NA
BFPA001;1;0;27;NA
BFPA002;1;0;100;Y
BFPP001;1;0;27;Y
BFQM001;1;0;41;NA
BGBA001;1;0;330;Y
BGBA002;1;0;21;NA
BGCA002;1;0;111;Y
BGDA001;1;0;257;Y
BGDA002;1;0;232;Y
BGDA003;1;0;216;Y
BGDA004;1;0;177;Y
BGDA005;1;0;284;Y
BGDA006;1;0;276;Y
BGDA007;1;0;193;Y
BGDA008;1;0;158;Y
BGFA001;1;0;224;Y
BGFA002;1;0;320;Y
BGFA003;1;0;610;Y
BGFA004;1;0;320;Y
BGFA005;1;0;285;Y
BGFA006;1;0;295;Y
BGFA007;1;0;385;Y
BGFA008;1;0;17;NA
BGFA009;1;0;311;Y
BGFA010;1;0;343;Y
BGFA011;1;0;336;Y
BGFA012;1;0;98;Y
BGFA014;1;0;144;Y
BGFA900;1;0;160;Y
BGGA001;1;0;180;Y
BGGA002;1;0;250;Y
BGGA003;1;0;95;Y
BGGA004;1;0;111;Y
BGGA005;1;0;147;Y
BGHA001;1;0;233;NA
BGHA002;1;0;64;Y
BGHB001;1;0;40;Y
BGHB002;1;0;63;Y
BGHB003;1;0;88;Y
BGJA001;1;0;150;Y
BGJA002;1;0;320;Y
BGJB001;1;0;69;Y
BGLA001;1;0;81;NA
BGLA002;1;0;105;NA
BGLB001;1;0;45;Y
BGLB002;1;0;57;Y
BGLP001;1;0;141;Y
BGMA001;1;0;610;Y
BGMA002;1;0;571;Y
BGMA003;1;0;198;Y
BGMA900;1;0;266;Y
BGMA901;1;0;185;Y
BGNA001;1;0;262;Y
BGNP001;1;0;32;NA
BGNP002;1;0;115;NA
BGNP003;1;0;35;NA
BGNP004;1;0;54;NA
BGNP005;1;0;72;Y
BGNP006;1;0;65;NA
BGNP007;1;0;39;NA
BGNP008;1;0;32;NA
BGPA001;1;0;291;Y
BGPA002;1;0;224;Y
BGPA003;1;0;272;Y
BGPP002;1;0;39;NA
BGQP001;1;0;29;NA
BGQP002;1;0;36;NA
BGQP003;1;0;26;NA
BGQP004;1;0;38;NA
BGQP005;1;0;55;Y
BGQP006;1;0;37;NA
BGQP007;1;0;31;NA
BGQP008;1;0;114;NA
BGQP009;1;0;31;NA
BGQP010;1;0;53;NA
BGQP011;1;0;144;NA
BGQP012;1;0;85;NA
BGQP140;1;0;25;NA
BGRF001;1;0;20;Y
BGSA002;1;0;111;Y
BHFA001;1;0;60;NA
BHGA001;1;0;119;Y
BHGA002;1;0;119;Y
BHGA003;1;0;171;Y
BHGA004;1;0;144;Y
BHGA005;1;0;171;Y
BHGA006;1;0;144;Y
BHGA007;1;0;171;Y
BHMA001;1;0;160;Y
BHMA002;1;0;301;Y
BHNL001;1;1;124;NA
BHNL001;1;2;210;Y
BHNL001;1;3;180;Y
BHQB001;1;0;16;NA
BHQP001;1;0;41;NA
BHQP002;1;0;12;NA
BHQX005;1;0;107;NA
BHRP001;1;0;47;NA
BJCA001;1;0;117;Y
BJDA001;1;0;171;Y
BJDA002;1;0;122;Y
BJEA001;1;0;149;Y
BJEA002;1;0;141;Y
BJLB001;1;0;48;NA
BJLB901;1;0;48;Y
BJMA001;1;0;168;Y
BJMA002;1;0;95;Y
BJMA003;1;0;163;Y
BJMA004;1;0;103;Y
BJMA005;1;0;149;Y
BJMA006;1;0;204;Y
BJMA007;1;0;236;Y
BJMA008;1;0;179;Y
BJMA009;1;0;114;Y
BJQP001;1;0;31;NA
BJQP002;1;0;29;NA
BJQP003;1;0;38;NA
BJQP004;1;0;18;NA
BJQP005;1;0;26;NA
BJQP006;1;0;19;NA
BKBA001;1;0;234;Y
BKCP001;1;0;70;Y
BKFA001;1;0;394;Y
BKFA002;1;0;144;Y
BKFA003;1;0;474;Y
BKFA004;1;0;329;Y
BKGA001;1;0;119;Y
BKGA002;1;0;268;Y
BKGA003;1;0;280;Y
BKGA004;1;0;385;Y
BKGA005;1;0;144;Y
BKGA006;1;0;306;Y
BKGA007;1;0;206;Y
BKGA008;1;0;148;Y
BKHA002;1;0;88;Y
BKHA003;1;0;120;Y
BKHB002;1;0;80;NA
BKHB003;1;0;49;NA
BKHB004;1;0;89;NA
BKJA001;1;0;87;Y
BKKP003;1;0;153;Y
BKLA001;1;0;305;Y
BKLA002;1;0;157;Y
BKLA003;1;0;305;Y
